Airport Code(Deprt.),Tail Number,Departure Date
FLL,531,12/8/2017
IAH,531,12/9/2017
PHL,531,12/10/2017
BWI,531,12/11/2017
ORD,531,12/12/2017
DFW,531,12/13/2017
DFW,531,12/14/2017
MCO,531,12/15/2017
FLL,531,12/16/2017
ORD,531,12/17/2017
ATL,531,12/18/2017
FLL,531,12/19/2017
LAS,531,12/20/2017
EWR,531,12/21/2017
IAH,531,12/22/2017
LAS,531,12/23/2017
BWI,531,12/24/2017
CAK,531,12/25/2017
MCO,531,12/26/2017
FLL,531,12/27/2017
PIT,531,12/28/2017
LAX,531,12/29/2017
EWR,531,12/30/2017
CAK,531,12/31/2017
PIT,532,12/1/2017
ACY,532,12/2/2017
PHL,532,12/3/2017
FLL,532,12/4/2017
MSY,532,12/5/2017
LAS,532,12/6/2017
EWR,532,12/7/2017
IAH,532,12/8/2017
IAH,532,12/9/2017
LAS,532,12/10/2017
TPA,532,12/11/2017
PIT,532,12/12/2017
PHL,532,12/13/2017
ACY,532,12/14/2017
IAG,532,12/15/2017
ORD,532,12/16/2017
DFW,532,12/17/2017
DTW,532,12/18/2017
FLL,532,12/19/2017
SAN,532,12/20/2017
PHL,532,12/21/2017
BWI,532,12/22/2017
BWI,532,12/23/2017
EWR,532,12/24/2017
IAH,532,12/25/2017
LAS,532,12/26/2017
TPA,532,12/27/2017
LAS,532,12/28/2017
TPA,532,12/29/2017
FLL,532,12/30/2017
ACY,532,12/31/2017
ACY,533,12/1/2017
BOS,533,12/2/2017
MSY,533,12/3/2017
IAH,533,12/4/2017
LAS,533,12/5/2017
TPA,533,12/6/2017
PIT,533,12/7/2017
PHX,533,12/8/2017
BOS,533,12/9/2017
LIM,533,12/10/2017
ACY,533,12/11/2017
BOS,533,12/12/2017
SAN,533,12/13/2017
PHL,533,12/14/2017
PHL,533,12/15/2017
BOS,533,12/16/2017
BOS,533,12/17/2017
DTW,533,12/18/2017
SAN,533,12/19/2017
PHL,533,12/20/2017
PHL,533,12/21/2017
IAG,533,12/22/2017
FLL,533,12/23/2017
LAX,533,12/24/2017
BWI,533,12/25/2017
BWI,533,12/26/2017
EWR,533,12/27/2017
CAK,533,12/28/2017
MCO,533,12/29/2017
ORD,533,12/30/2017
DFW,533,12/31/2017
EWR,534,12/1/2017
CAK,534,12/2/2017
MCO,534,12/3/2017
MSY,534,12/4/2017
LAS,534,12/5/2017
ORD,534,12/6/2017
BWI,534,12/7/2017
BWI,534,12/8/2017
FLL,534,12/9/2017
MSY,534,12/10/2017
LAS,534,12/11/2017
TPA,534,12/12/2017
LAS,534,12/13/2017
ORD,534,12/14/2017
BWI,534,12/15/2017
IAH,534,12/16/2017
LAS,534,12/17/2017
TPA,534,12/18/2017
PIT,534,12/19/2017
BOS,534,12/20/2017
MCO,534,12/21/2017
BOS,534,12/22/2017
EWR,534,12/23/2017
CAK,534,12/24/2017
MCO,534,12/25/2017
FLL,534,12/26/2017
MCO,534,12/27/2017
FLL,534,12/28/2017
IAG,534,12/29/2017
MCO,534,12/30/2017
FLL,534,12/31/2017
BOS,535,12/1/2017
LAX,535,12/2/2017
PHL,535,12/3/2017
BOS,535,12/4/2017
LAX,535,12/5/2017
BOS,535,12/6/2017
LAX,535,12/7/2017
PHL,535,12/8/2017
LAX,535,12/9/2017
BWI,535,12/10/2017
CAK,535,12/11/2017
MCO,535,12/12/2017
FLL,535,12/13/2017
BOS,535,12/14/2017
FLL,535,12/15/2017
IAG,535,12/16/2017
LAS,535,12/17/2017
ORD,535,12/18/2017
BWI,535,12/19/2017
BWI,535,12/20/2017
FLL,535,12/21/2017
PIT,535,12/22/2017
ACY,535,12/23/2017
SAN,535,12/24/2017
ACY,535,12/25/2017
ACY,535,12/26/2017
SAN,535,12/27/2017
PHL,535,12/28/2017
PHL,535,12/29/2017
FLL,535,12/30/2017
PIT,535,12/31/2017
PHL,536,12/1/2017
PHX,536,12/2/2017
LAX,536,12/3/2017
BWI,536,12/4/2017
BOS,536,12/5/2017
BWI,536,12/6/2017
TPA,536,12/7/2017
PIT,536,12/8/2017
ATL,536,12/9/2017
PIT,536,12/10/2017
PHX,536,12/11/2017
FLL,536,12/12/2017
FLL,536,12/13/2017
ORD,536,12/14/2017
DFW,536,12/15/2017
DTW,536,12/16/2017
FLL,536,12/18/2017
MSY,536,12/19/2017
MSY,536,12/20/2017
PIT,536,12/21/2017
ACY,536,12/22/2017
FLL,536,12/23/2017
PIT,536,12/24/2017
LAX,536,12/25/2017
BWI,536,12/26/2017
CAK,536,12/27/2017
MCO,536,12/28/2017
MSY,536,12/29/2017
LAS,536,12/30/2017
TPA,536,12/31/2017
DFW,601,12/1/2017
MCI,601,12/2/2017
DFW,601,12/3/2017
DFW,601,12/4/2017
DFW,601,12/6/2017
BDL,601,12/7/2017
DFW,601,12/8/2017
IAH,601,12/9/2017
IAH,601,12/10/2017
MCI,601,12/11/2017
LAX,601,12/12/2017
DFW,601,12/14/2017
LAS,601,12/15/2017
DTW,601,12/16/2017
PTY,601,12/17/2017
DFW,601,12/18/2017
DFW,601,12/19/2017
CLE,601,12/20/2017
CLE,601,12/21/2017
DFW,601,12/22/2017
EWR,601,12/23/2017
MSP,601,12/24/2017
ATL,601,12/25/2017
MCO,601,12/26/2017
FLL,601,12/27/2017
MCO,601,12/28/2017
BOS,601,12/29/2017
PHX,601,12/30/2017
PHX,601,12/31/2017
DTW,602,12/1/2017
FLL,602,12/2/2017
FLL,602,12/3/2017
OAK,602,12/4/2017
ACY,602,12/5/2017
FLL,602,12/6/2017
RSW,602,12/7/2017
MSP,602,12/8/2017
FLL,602,12/9/2017
LAS,602,12/10/2017
DFW,602,12/11/2017
DTW,602,12/12/2017
DTW,602,12/16/2017
ACY,602,12/17/2017
FLL,602,12/18/2017
BWI,602,12/19/2017
LAS,602,12/20/2017
MCI,602,12/21/2017
LAX,602,12/22/2017
DFW,602,12/24/2017
DFW,602,12/25/2017
IAH,602,12/26/2017
LAS,602,12/27/2017
DTW,602,12/28/2017
OAK,602,12/29/2017
ACY,602,12/30/2017
MCO,602,12/31/2017
ACY,603,12/1/2017
STI,603,12/2/2017
MCO,603,12/3/2017
BWI,603,12/4/2017
PIT,603,12/5/2017
OAK,603,12/6/2017
FLL,603,12/7/2017
TPA,603,12/8/2017
DTW,603,12/9/2017
DTW,603,12/10/2017
FLL,603,12/11/2017
LBE,603,12/12/2017
STI,603,12/13/2017
LBE,603,12/14/2017
MCO,603,12/15/2017
MCO,603,12/16/2017
MCO,603,12/17/2017
MCO,603,12/18/2017
LAS,603,12/19/2017
ORD,603,12/20/2017
DTW,603,12/21/2017
DTW,603,12/22/2017
MSP,603,12/23/2017
RSW,603,12/24/2017
DTW,603,12/25/2017
LAS,603,12/27/2017
DTW,603,12/29/2017
MCO,603,12/30/2017
PHL,603,12/31/2017
MSP,604,12/1/2017
ATL,604,12/2/2017
DTW,604,12/3/2017
DTW,604,12/4/2017
DTW,604,12/5/2017
BWI,604,12/6/2017
MCI,604,12/7/2017
CLE,604,12/8/2017
CLE,604,12/9/2017
LAX,604,12/10/2017
DFW,604,12/11/2017
PHL,604,12/12/2017
FLL,604,12/13/2017
FLL,604,12/14/2017
PHX,604,12/15/2017
LAS,604,12/16/2017
DFW,604,12/17/2017
LAS,604,12/18/2017
LAS,604,12/19/2017
PTY,604,12/20/2017
RSW,604,12/21/2017
DTW,604,12/22/2017
DTW,604,12/23/2017
DTW,604,12/24/2017
ACY,604,12/25/2017
FLL,604,12/28/2017
BWI,604,12/29/2017
ACY,604,12/30/2017
FLL,604,12/31/2017
DTW,605,12/3/2017
LAX,605,12/4/2017
DFW,605,12/5/2017
DFW,605,12/6/2017
DFW,605,12/8/2017
CLE,605,12/9/2017
CLE,605,12/10/2017
LAX,605,12/11/2017
DFW,605,12/12/2017
DFW,605,12/13/2017
LAS,605,12/14/2017
LAS,605,12/15/2017
LAS,605,12/16/2017
PIT,605,12/17/2017
ORD,605,12/18/2017
BOS,605,12/19/2017
MSP,605,12/20/2017
PHX,605,12/21/2017
BOS,605,12/22/2017
LAS,605,12/23/2017
DFW,605,12/24/2017
MCI,605,12/25/2017
CLE,605,12/26/2017
CLE,605,12/27/2017
LAX,605,12/28/2017
DFW,605,12/29/2017
IAH,605,12/30/2017
DFW,605,12/31/2017
OAK,606,12/1/2017
ACY,606,12/2/2017
IAG,606,12/3/2017
TPA,606,12/4/2017
DTW,606,12/6/2017
OAK,606,12/7/2017
ACY,606,12/8/2017
MCO,606,12/9/2017
PTY,606,12/10/2017
LAS,606,12/11/2017
DFW,606,12/12/2017
BDL,606,12/13/2017
DFW,606,12/14/2017
BDL,606,12/15/2017
DFW,606,12/16/2017
BDL,606,12/17/2017
DFW,606,12/18/2017
MCI,606,12/19/2017
EWR,606,12/20/2017
LAS,606,12/21/2017
EWR,606,12/22/2017
LBE,606,12/23/2017
MCO,606,12/24/2017
PTY,606,12/25/2017
BWI,606,12/26/2017
LAS,606,12/27/2017
LAS,606,12/28/2017
PIT,606,12/29/2017
ORD,606,12/30/2017
